,heading,key,value
543,Dimensions & Capacity,Front Tread,1400mm
544,Dimensions & Capacity,Rear Tread,1385mm
545,Dimensions & Capacity,Kerb Weight,860kg
546,Miscellaneous,Gear Box,5 Speed
547,Miscellaneous,Drive Type,FWD
548,Miscellaneous,Seating Capacity,5
549,Miscellaneous,Steering Type,Power
550,Miscellaneous,Turning Radius,4.7 metres
551,Miscellaneous,Front Brake Type,Ventilated Disc
552,Miscellaneous,Rear Brake Type,Drum
553,Miscellaneous,Top Speed,165 Kmph
554,Miscellaneous,Acceleration,14.3 Seconds
555,Miscellaneous,Tyre Type,Tubeless
556,Miscellaneous,No Door Numbers,5
557,Miscellaneous,Cargo Volumn,225-litres
558,Engine and Transmission,Color,Gray
559,Engine and Transmission,Engine Type,Turbocharged Diesel engine
560,Engine and Transmission,Displacement,1999
561,Engine and Transmission,Max Power,245.4bhp@5500rpm
562,Engine and Transmission,Max Torque,430Nm@1750-2500rpm
563,Engine and Transmission,No of Cylinder,4
564,Engine and Transmission,Values per Cylinder,4
565,Engine and Transmission,Compression Ratio,15.5
566,Engine and Transmission,Turbo Charger,Yes
567,Dimensions & Capacity,Length,4371 mm
568,Dimensions & Capacity,Width,1996 mm
569,Dimensions & Capacity,Height,1649 mm
570,Dimensions & Capacity,Wheel Base,2681mm
571,Dimensions & Capacity,Front Tread,1626mm
572,Dimensions & Capacity,Rear Tread,1628mm
573,Dimensions & Capacity,Kerb Weight,1775
574,Dimensions & Capacity,Gross Weight,2450kg
575,Miscellaneous,Gear Box,9-speed automatic
576,Miscellaneous,Drive Type,AWD
577,Miscellaneous,Seating Capacity,5
578,Miscellaneous,Steering Type,Power
579,Miscellaneous,Front Brake Type,Disc
580,Miscellaneous,Rear Brake Type,Disc
581,Miscellaneous,Top Speed,205 Kmph
582,Miscellaneous,Acceleration,9.3 Seconds
583,Miscellaneous,Tyre Type,"Tubeless,Radial"
584,Miscellaneous,Alloy Wheel Size,18
585,Miscellaneous,No Door Numbers,5
586,Miscellaneous,Cargo Volumn,786
587,Engine and Transmission,Color,Silver
588,Engine and Transmission,Engine Type,K Series Petrol Engine
589,Engine and Transmission,Displacement,998
590,Engine and Transmission,Max Power,67.05bhp@6000rpm
591,Engine and Transmission,Max Torque,90Nm@3500rpm
592,Engine and Transmission,No of Cylinder,3
593,Engine and Transmission,Values per Cylinder,4
594,Engine and Transmission,Value Configuration,DOHC
595,Engine and Transmission,Fuel Suppy System,MPFi
596,Engine and Transmission,Turbo Charger,No
597,Engine and Transmission,Super Charger,No
598,Dimensions & Capacity,Length,3545mm
599,Dimensions & Capacity,Width,1515mm
600,Dimensions & Capacity,Height,1475mm
601,Dimensions & Capacity,Wheel Base,2360mm
602,Dimensions & Capacity,Front Tread,1295mm
603,Dimensions & Capacity,Rear Tread,1290mm
604,Dimensions & Capacity,Kerb Weight,784kg
605,Dimensions & Capacity,Gross Weight,1210kg
